instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
BSE_EQ|INE261F08BX4,959228,7NABARD30,NABARD743310130PVT,1000000,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE810M01019,524434,ASINPET,ASIAN PETROPRODUCTS  EXPORTS,14.9,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE198C01010,524440,CAMEXLTD,CAMEX LTD,44.1,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE148I07SV7,939375,1025IHFL34,IHFL102526334NCD,1000,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE313M01030,524444,EVEXIA,EVEXIA LIFECARE LIMITED,2.58,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE121H07AC4,950434,950ILFS24,ILFS9503724,1000,,,0.01,1000,EQUITY,,BSE_EQ
BSE_EQ|INE319N01019,524458,INDOEURO,INDO EURO INDCHEM LTD,11.71,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE539K08112,950446,1175HDFCC,CREDILA1175,1061375.6,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE036D01028,590003,KARURVYSYA,KARUR VYSYA BANK LTD,195.25,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INE484C01030,590005,TIDEWATER,TIDE WATER OIL INDIA LTD,1811.1,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INE312C01025,524470,SYNCOMF,SYNCOM FORMULATIONS INDIA LT,13.53,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE134E08BP2,950457,860PFCL24,PFC8607824PVT,1000000,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE134E08CN5,950458,850PFCL24,PFC850151224PVT,1000000,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE134E08CP0,950459,880PFCL25,PFC88015125PVT,1097800,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE134E08CS4,950460,890PFCL25,PFC89015325PVT,1000000,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE445C01015,590013,XPROINDIA,XPRO INDIA LTD,1026.7,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INE148I07SQ7,939381,1025IHF34,IHFL102526334NCD,1000,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE249D01019,524480,RIDDHI,RIDDHI SIDDHI GLUCO BIOLS LTD,566.45,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INE134E08DS2,950465,946PFCL26,PFC9461826PVT,1121374,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE598C01011,590018,HISARMETAL,HISAR METAL INDUSTRIES LTD,209.5,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INE134E08DU8,950467,945PFCL26,945PFC26,1000000,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE134E08FL2,950468,900PFCL28,PFC90011328PVT,1000000,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE838B01013,590021,BHARATRAS,BHARAT RASAYAN LTD,9400.2,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INE134E08FQ1,950471,894PFCL28,PFC89425328PVT,1155499.85,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE038B01010,524488,SVCIND,SVC INDUSTRIES LIMITED,3.69,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE424C01010,590025,GINNIFILA,GINNI FILAMENTS LTD,38.71,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE134E08DJ1,950475,905PFCL30,PFC905151230PVT,1000000,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE537P07026,950306,970IIL24B,INDIAINFRA97228524PVT,1000000,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE571A01038,524494,IPCALAB,IPCA LABORATORIES LTD,1337.45,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INE244A01016,590031,DENORA,DE NORA INDIA LTD,1546.15,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|IN001226C074,800449,GS16DEC2026,GS16DEC2026C,100,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE729D01010,524500,KILITCH,KILITCH DRUGS INDIA LTD,345.4,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INE134E07125,950485,775PFCL26,PFC775151011PVT,107111,,,0.01,10,EQUITY,,BSE_EQ
BSE_EQ|INE548H01015,524502,RAAJMEDI,RAAJ MEDISAFE INDIA LTD,55.93,,,0.01,100,EQUITY,,BSE_EQ
BSE_EQ|INE01CY077T9,939385,1150IFL26,IFL115019426NCD,1000,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE270D01015,524504,REVAORG,REVATI ORGANICS LTD,2.75,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE641C01019,590041,KAVVERITEL,KAVVERI TELECOM PRODUCTS LTD,18.24,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE683E01017,524506,CORALAB,CORAL LABORATORIES LTD,367.25,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INE540P07087,955770,897UPPCL25,UPPCL89714225PVT,750000,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE134E07141,950494,816PFCL26,PFC816251126PVT,113928.94,,,0.01,10,EQUITY,,BSE_EQ
BSE_EQ|INE134E07240,950497,872PFCL22A,PFC87230327PVT,13750,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE276N01011,524514,TULASEEBIOE,TULASEE BIOETHANOL LTD,19.58,,,0.01,100,EQUITY,,BSE_EQ
BSE_EQ|INE667G01023,590051,SAKSOFT,SAKSOFT LTD,269.35,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INE711D01018,524516,BACPHAR,BACIL PHARMA LTD,22.81,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE268B01013,524518,KREBSBIO,KREBS BIOCHEMICALS  INDUSTRIE,71.6,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE879K01018,524520,KMCSHIL,KMC SPECIALITY HOSPITALS INDI,89.15,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE217G01035,590057,EQUIPPP,EQUIPPP SOCIAL IMPACT TECHNOLO,31.01,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE919B01011,524522,LAFFANSQ,LAFFANS PETROCHEMICALS LTD,46.77,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE715B01021,590062,ANDHRSUGAR,ANDHRA SUGARS LTD,104.7,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INE805C01028,590066,KCP,KCPLTD,168.05,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INE731C01018,590068,KHAITANLTD,KHAITAN INDIA LTD,65.05,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE972C01018,524534,BHASKAGR,BHASKAR AGROCHEMICALS LTD,63.18,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE660A01013,590071,SUNDARMFIN,SUNDARAM FINANCE LTD,4736.45,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INE073D01013,590072,SUNDRMBRAK,SUNDARAM BRAKE LININGS LTD,777.9,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INE715A01015,590073,WHEELS,WHEELS INDIA LTD,577.7,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INE112F01022,590075,LAMBODHARA,LAMBODHARA TEXTILES LTD,149.55,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INE07GA01011,543391,SGFRL,SUYOG GURBAXANI FUNICULAR ROPE,148,,,0.05,1500,EQUITY,,BSE_EQ
BSE_EQ|INE450E01011,524542,SUKHJITS,SUKHJIT STARCH  CHEMICALS LTD,463.5,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INE06DM01015,524546,SATAGRI,SATIATE AGRI LIMITED,22.89,,,0.01,100,EQUITY,,BSE_EQ
BSE_EQ|INE725E01024,590086,ORISSAMINE,ORISSA MINERALS DEVELOPMENT CO,6740.45,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INE765G01017,540716,ICICIGI,ICICI LOMBARD GENERAL INSURANC,1683.15,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INE121A08OK1,959112,10CIFPERP,CIFCL1075PERPETUALPVT,553000,,,0.01,2,EQUITY,,BSE_EQ
BSE_EQ|INE403G07095,975479,825SCCL29,SCCL82511329PVT,100000,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE794A01010,524558,NEULANDLAB,NEULAND LABORATORIES LTD,7466.3,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INF204KB17I5,590095,GOLDBEES,NIPPON INDIA ETF GOLD BEES,60.1,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INF732E01037,590096,LIQUIDBEES,NIPPON INDIA ETF LIQUID BEES,1000,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INF174KA1HJ8,590097,GOLD1,KOTAK MAHINDRA MUTUAL FUND  K,60.38,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INF200KA16D8,590098,SBIGETS,SBI MUTUAL FUND  SBI GOLD EXC,61.84,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INF082J01408,590099,QGOLDHALF,QUANTUM GOLD FUND  EXCHANGE T,59.82,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE052E01015,524564,GAYATRIBI,GAYATRI BIOORGANICS LTD,5.37,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INF789F1AUX7,590101,GOLDSHARE,UTI MUTUAL FUND  UTI GOLD EXC,60.46,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INF204KB14I2,590103,NIFTYBEES,NIPPON INDIA ETF NIFTY BEES,248.66,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INF732E01045,590104,JUNIORBEES,NIPPON INDIA ETF JUNIOR BEES,698.91,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE371C01013,524570,PODDARMENT,PODDAR PIGMENTS LTD,338.5,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INF373I01023,590107,PSUBANK,KOTAK MAHINDRA MUTUAL FUND  K,747.64,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE117D01018,524572,PHARMAID,PHARMAIDS PHARMACEUTICALS LTD,55.52,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INF732E01128,590109,SHARIABEES,NIPPON INDIA ETF SHARIAH BEES,482.76,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INF082J01028,590110,QNIFTY,QUANTUM NIFTY 50 ETF,2405.87,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE737C01023,524576,VIVIDIND,VIVID GLOBAL INDUSTRIES LTD,20.94,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INF204KB19I1,590113,HNGSNGBEES,NIPPON INDIA ETF HANG SENG BEE,273.57,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INF247L01536,590115,MOM50,MOTILAL OSWAL MUTUAL FUND,228.59,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE686C01014,524580,PRIYALT,PRIYA LTD,12.6,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE121H07BT6,955782,85ILFSFS27,ILFSFSL8520227PVT,1000,,,0.01,1000,EQUITY,,BSE_EQ
BSE_EQ|INE314D01011,524582,TIRUSTA,TIRUPATI STARCH  CHEMICALS LT,156.05,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INE614X07274,936840,1004DLSL24,DLSL10046924NCD,967.01,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE422G01015,524590,HEMORGANIC,HEMO ORGANIC LIMITED,10.6,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE263B01022,524592,JDORGOCHEM,JD ORGOCHEM LTD,12.6,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE134E08IT9,955784,76PFCL27,PFC76020227PVT,1000000,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE994D01010,524594,AEONXDIGI,AEONX DIGITAL TECHNOLOGY LIMIT,104.65,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INE542B01011,524598,AKSHARCHEM,AKSHARCHEM INDIA LTD,270.3,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INF174K01F59,590136,BANKNIFTY1,KOTAK MAHINDRA MUTUAL FUND  P,499.11,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INF200KA1580,590137,SETFNIFBK,SBI MUTUAL FUNDPERMITTED,494.12,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE875N01036,524602,BANDARAM,BANDARAM PHARMA PACKTECH LIMIT,34.23,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE276T01018,524604,ADLINE,ADLINE CHEM LAB LIMITED,23.39,,,0.01,100,EQUITY,,BSE_EQ
BSE_EQ|INE415H01017,524606,BERLDRG,BERYL DRUGS LTD,36,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE752E08676,974593,740PGCL33,PGCL74017233PVT,87500,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE056E01024,524614,INDXTRA,IEL LIMITED,7.32,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE340M08129,950600,972TGDCL24,TGDCL97216724PVT,1000000,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE532B01020,524622,ISTRNETWK,ISTREET NETWORK LIMITED,2.43,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE076D01016,524624,GAGAN,GAGAN GASES LTD,22,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE327G01032,540728,SAYAJIIND,SAYAJI INDUSTRIES LIMITED,183.95,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INE750B01010,524628,PARKERAC,PARKER AGROCHEM EXPORTS LTD,26,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE551C01028,524632,SHUKRAPHAR,SHUKRA PHARMACEUTICALS LIMITED,99.05,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE058F01019,524634,ALUFLUOR,ALUFLUORIDE LTD,489.75,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INE013A07A66,950619,942RCL2024,RCL942B3014824PVT,1000000,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE102E01018,524636,OXYGENTAPH,OXYGENTA PHARMACEUTICAL LIMITE,38.16,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE062Y01012,540730,MEHAI,MEHAI TECHNOLOGY  LIMITED,27.94,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE078I01011,524640,ARCHITORG,ARCHIT ORGANOSYS LTD,44.13,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE528E01022,524642,SIKOZY,SIKOZY REALTORS LIMITED,0.9,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE134E07182,961718,PFCBT1S4,PFCBT1S4,14200,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE760F01028,524648,INDOAMIN,INDO AMINES LTD,132.7,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INE788B01028,524652,INDSWFTLTD,INDSWIFT LTD,23.98,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE936B01015,524654,NATCAPSUQ,NATURAL CAPSULES LTD,327.4,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INE871D07NI3,950641,950ILFS24A,ILFS95029072024PVT,1000,,,0.01,1000,EQUITY,,BSE_EQ
BSE_EQ|INE532F07FM4,939411,EFS290424,EFSL29427NCD,1000,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE331C01017,524661,WELCURE,WELCURE DRUGS  PHARMACEUTICAL,4.74,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE994B01014,524663,BIBCL,BHARAT IMMUNOLOGICALS  BIOLOG,30.17,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE035D01020,524667,SOTL,SAVITA OIL TECHNOLOGIES LTD,558.65,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INE782E01017,524669,HESTERBIO,HESTER BIOSCIENCES LTD,1670.95,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INE645C01010,524675,KABSON,KABSONS INDUSTRIES LTD,19.43,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE00WJ08019,958025,JFCZC28,JFCZC27628PVT,1.00E+07,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE982X07143,973301,1172SML26,SML11725526PVT,1000000,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE936D07075,950668,975JUP2024,JUP975282024PVT,1000000,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE402Y01028,540738,STL,SHREEJI TRANSLOGISTICS LIMITED,30.36,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE473E01021,524687,BASANTGL,BASANT AGRO TECH INDIA LTD,19.53,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE040A08526,950675,950HDFCB24,HDFCB95M01413824PVT,1000000,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE751D01014,524703,SANDUPHQ,SANDU PHARMACEUTICALS LTD,61.23,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE028A08182,959117,899BOBPER,BOB899PERPETUALPVT,1031106,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE295D01020,524709,NACLIND,NACL INDUSTRIES LIMITED,68.03,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE427C01021,524711,VISTAPH,VISTA PHARMACEUTICALS LTD,14.47,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE044A01036,524715,SUNPHARMA,SUN PHARMACEUTICAL INDUSTRIES,1529.7,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INE150C01011,524717,TITANBIO,TITAN BIOTECH LTD,519.15,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INE202E08029,955805,76IREDA27,IREDA76023227PVT,1000000,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE806T01012,543397,SAPPHIRE,SAPPHIRE FOODS INDIA LIMITED,1391.75,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INE491D01017,524723,BIJHANS,BIJOY HANS LTD,23,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE818F07203,974812,863KFL33,KFL86324333PVT,100000,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE004E01016,524727,SDL,SPAN DIVERGENT LIMITED,14.88,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE354A01013,524731,JENBURPH,JENBURKT PHARMACEUTICALS LTD,864.45,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INE475B01022,524735,HIKAL,HIKAL LTD,294.9,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INE475E01026,524742,CAPLIPOINT,CAPLIN POINT LABORATORIES LTD,1311,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INE771F01025,524743,FISCHER,FISCHER CHEMIC LTD,530.95,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INE742F07429,955845,822APSEZ27,APSEZL8228327PVT,1000000,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE302F01011,524748,LINKPH,LINK PHARMA CHEM LTD,42.74,,,0.01,1,EQUITY,,BSE_EQ
